filename,width,height,class,xmin,ymin,xmax,ymax
xemay1793_jpg.rf.0dc26bab2eb4bb60c25bf0430a744691.jpg,472,303,License_Plate,154,82,218,127
xemay1850_jpg.rf.a89277812aac9136da653af67d7e3df9.jpg,472,303,License_Plate,187,122,249,169
rotatequandoi50_jpg.rf.fcc6a91af1b79436df370a07040d00ad.jpg,764,428,License_Plate,260,322,325,370
Cars354_png_jpg.rf.52d6d5fb18efb7075b02ccc55c40ea71.jpg,400,267,License_Plate,64,201,101,221
CarLongPlateGen2076_jpg.rf.2c1888f949cec4ec6e85f6e4a68684c5.jpg,472,303,License_Plate,316,242,412,271
quandoi78_jpg.rf.44630427bfeefe5b07e74c100e14a9b5.jpg,1200,630,License_Plate,741,318,874,399
quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,512,384,License_Plate,187,262,213,284
quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,512,384,License_Plate,427,277,446,291
pic_052_jpg.rf.8d8ada4bb6d13b9664ebc6f47f4ca36b.jpg,1300,956,License_Plate,738,421,975,497
Cars21_png_jpg.rf.5437d6da5e6270766d901440acf995b8.jpg,400,301,License_Plate,190,164,254,191
cropquandoi84_jpg.rf.c0529defc0a9e176135940396c021063.jpg,800,652,License_Plate,612,541,696,613
CarLongPlateGen1436_jpg.rf.07d814bef8a8f91855a15e4232b450da.jpg,472,303,License_Plate,210,95,312,129
rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,1000,657,License_Plate,756,356,819,386
rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,1000,657,License_Plate,200,421,226,432
xemay298_jpg.rf.b9e6c5bf0bafafd156ea6d8ecba76028.jpg,472,303,License_Plate,162,118,242,185
images39_jpg.rf.c5272e981545aa2e72aa3897ab72552a.jpg,318,158,License_Plate,122,53,201,89
CarLongPlateGen1437_jpg.rf.4f6aea63b574e6c601ea0570dc1f58be.jpg,472,303,License_Plate,164,138,275,171
CarLongPlateGen2911_jpg.rf.7609a883c2d83c974e3f88c61cce8e80.jpg,472,303,License_Plate,309,74,376,134
CarLongPlateGen143_jpg.rf.8997a6c7cd2901931723d9ba65906f32.jpg,472,303,License_Plate,249,189,297,198
CarLongPlateGen1432_jpg.rf.90391554147a83238648b932adc230fc.jpg,472,303,License_Plate,195,147,307,184
Cars121_png_jpg.rf.3bf9f0ee0a26dd699fb2d60f008c2f31.jpg,400,300,License_Plate,335,191,356,203
CarLongPlateGen1481_jpg.rf.a604f94d75f7e7077c44f8311d37d486.jpg,472,303,License_Plate,238,168,334,198
CarLongPlateGen1257_jpg.rf.cca80a7fcf4d90190b153dec6e35d7e5.jpg,472,303,License_Plate,157,135,262,159
CarLongPlateGen3843_jpg.rf.08d5c61264451db8cf67e400f8aa1915.jpg,472,303,License_Plate,216,205,311,261
Cars232_png_jpg.rf.2515ce9e1016ea8735ba29033df6e45d.jpg,400,300,License_Plate,174,173,227,200
pic_051_jpg.rf.006b67eced2fabac1962065d58be7377.jpg,720,576,License_Plate,98,386,232,506
Cars315_png_jpg.rf.61758bb2065aaaa9bb699b1606d61772.jpg,400,300,License_Plate,11,97,384,180
pic_065_jpg.rf.31ac92be6f90a93d32a2e18045a9adbc.jpg,800,800,License_Plate,265,345,533,409
CarLongPlateGen3800_jpg.rf.533572fa43d164a44d164818d23ddd46.jpg,472,303,License_Plate,94,93,211,146
CarLongPlateGen3895_jpg.rf.204516fb959fa0d7db4cc30f6316d119.jpg,472,303,License_Plate,211,195,315,245
CarLongPlateGen3846_jpg.rf.88e28b142dc2e5d041f194185a6a5cfa.jpg,472,303,License_Plate,125,205,231,245
Cars119_png_jpg.rf.638b3e07f32ad54564c634eb1e1cc53d.jpg,400,247,License_Plate,186,139,216,152
Cars122_png_jpg.rf.5578e2a014faef769739d6d814d60656.jpg,400,300,License_Plate,194,146,253,168
CarLongPlateGen3787_jpg.rf.ab704338300805ce5aff57292d98f99c.jpg,472,303,License_Plate,260,218,343,243
CarLongPlateGen3859_jpg.rf.1979f331e60e067d59c93d68eed1123e.jpg,472,303,License_Plate,228,121,318,183
Cars124_png_jpg.rf.4c0cec7d03c0f8d7230a99228effaf75.jpg,400,267,License_Plate,304,255,319,266
